Year,Type,School,School2
2014.0,PMF STEM,WEILL CORNELL MEDICAL COLLEGE AND GRADUA,CORNELL UNIVERSITY
2014.0,PMF STEM,SAN FRANCISCO STATE UNIVERSITY,SAN FRANCISCO STATE UNIVERSITY
2014.0,PMF STEM,"UNIVERSITY OF MARYLAND, COLLEGE PARK",UNIVERSITY OF MARYLAND - COLLEGE PARK
2014.0,PMF,JOHNS HOPKINS UNIV SCH ADV INTL STU,JOHNS HOPKINS UNIVERSITY
2014.0,PMF,"UNIVERSITY OF MARYLAND, COLLEGE PARK",UNIVERSITY OF MARYLAND - COLLEGE PARK
2014.0,PMF,UNIV OF CONNECTICUT SCH LAW,UNIV OF CONNECTICUT 
2014.0,PMF,TULANE UNIVERSITY,TULANE UNIVERSITY
2014.0,PMF,YALE UNIVERSITY,YALE UNIVERSITY
2014.0,PMF,UNIVERSITY OF VIRGINIA ? SFS,UNIVERSITY OF VIRGINIA 
2014.0,PMF,UNIVERSITY OF SOUTH DAKOTA,UNIVERSITY OF SOUTH DAKOTA
2014.0,PMF,NEW YORK LAW SCHOOL,NEW YORK LAW SCHOOL
2014.0,PMF,UNIVERSITY OF TEXAS?AUSTIN,UNIVERSITY OF TEXAS - AUSTIN
2014.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2014.0,PMF STEM,"UNIVERSITY OF MARYLAND, COLLEGE PARK",UNIVERSITY OF MARYLAND - COLLEGE PARK
2014.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2014.0,PMF,CUNY?JOHN JAY CLG CRIMINAL JUSTICE,CUNY - JOHN JAY COLLEGE
2014.0,PMF,THOMAS M. COOLEY LAW SCHOOL,THOMAS M. COOLEY LAW SCHOOL
2014.0,PMF,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY
2014.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2014.0,PMF,JOHNS HOPKINS UNIV SCH ADV INTL STU,JOHNS HOPKINS UNIVERSITY
2014.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2014.0,PMF STEM,EMORY UNIVERSITY,EMORY UNIVERSITY
2014.0,PMF,UNIVERSITY OF PITTSBURGH,UNIVERSITY OF PITTSBURGH
2014.0,PMF,UNIVERSITY OF SOUTHERN CALIFORNIA,UNIVERSITY OF SOUTHERN CALIFORNIA
2014.0,PMF,TUFTS UNIVERSITY,TUFTS UNIVERSITY
2014.0,PMF,UNIVERSITY OF VIRGINIA ? SFS,UNIVERSITY OF VIRGINIA 
2014.0,PMF,VIVEK JOHNS HOPKINS UNIV SCH ADV INTL STU,JOHNS HOPKINS UNIVERSITY
2014.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2014.0,PMF,WAYNE STATE UNIVERSITY ? LAW SCHOOL,WAYNE STATE UNIVERSITY
2014.0,PMF,YALE UNIVERSITY,YALE UNIVERSITY
2014.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2014.0,PMF,INDIANA UNIV?PURDUE UNIV INDPLS,INDIANA UNIV - PURDUE AT INDIANAPOLIS
2014.0,PMF STEM,TULANE UNIVERSITY,TULANE UNIVERSITY
2014.0,PMF,UNIVERSITY OF DUBLIN TRINITY COLLEG,UNIVERSITY OF DUBLIN TRINITY COLLEG
2014.0,PMF,"UNIVERSITY OF MARYLAND, COLLEGE PARK",UNIVERSITY OF MARYLAND - COLLEGE PARK
2014.0,PMF,XAVIER UNIVERSITY,XAVIER UNIVERSITY
2014.0,PMF,UNIVERSITY OF MICHIGAN ? ANN ARBOR,UNIVERSITY OF MICHIGAN - ANN ARBOR
2014.0,PMF,TEMPLE UNIVERSITY,TEMPLE UNIVERSITY
2014.0,PMF,GEORGE WASHINGTON UNIV LAW SCHL,GEORGE WASHINGTON UNIVERSITY
2014.0,PMF STEM,JOHNS HOPKINS UNIVERSITY,JOHNS HOPKINS UNIVERSITY
2014.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2014.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2014.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2014.0,PMF STEM,EMORY UNIVERSITY,EMORY UNIVERSITY
2014.0,PMF,YALE UNIVERSITY,YALE UNIVERSITY
2014.0,PMF,COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY
2014.0,PMF,PEPPERDINE UNIVERSITY,PEPPERDINE UNIVERSITY
2014.0,PMF,HOWARD UNIVERSITY,HOWARD UNIVERSITY
2014.0,PMF,NORTHERN ILLINOIS UNIVERSITY,NORTHERN ILLINOIS UNIVERSITY
2014.0,PMF STEM,INDIANA UNIV?PURDUE UNIV INDPLS,INDIANA UNIV - PURDUE AT INDIANAPOLIS
2014.0,PMF,AUBURN UNIVERSITY,AUBURN UNIVERSITY
2014.0,PMF STEM,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2014.0,PMF STEM,UNIVERSITY OF IOWA,UNIVERSITY OF IOWA
2014.0,PMF,UNIVERSITY OF N C?CHAPEL HILL,UNIVERSITY OF NORTH CARLOLINA - CHAPEL HILL
2014.0,PMF STEM,WASHINGTON UNIVERSITY,WASHINGTON UNIVERSITY
2014.0,PMF,UNIVERSITY OF CHICAGO GRADUATE,UNIVERSITY OF CHICAGO
2014.0,PMF,UNIVERSITY OF MINNESOTA?TWIN CITIES,UNIVERSITY OF MINNESOTA - TWIN CITIES
2014.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2014.0,PMF,STANFORD UNIVERSITY ? GRADUATE SCHOOL OF,STANFORD UNIVERSITY
2014.0,PMF,GEORGE MASON UNIVERSITY,GEORGE MASON UNIVERSITY
2014.0,PMF,UNIVERSITY OF SYDNEY,UNIVERSITY OF SYDNEY
2014.0,PMF,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY
2014.0,PMF,UNIVERSITY OF WISCONSIN?MADISON,UNIVERSITY OF WISCONSIN - MADISON
2014.0,PMF STEM,"CALIF STATE UNIV, SAN MARCOS",CALIFORNIA STATE UNIV - SAN MARCOS
2014.0,PMF,UNIV OF LONDON?LONDON SCHOOL ECON,UNIV OF LONDON - LONDON SCHOOL ECON
2014.0,PMF STEM,UNIVERSITY OF CALIFORNIA?DAVIS,UNIVERSITY OF CALIFORNIA - DAVIS
2014.0,PMF,UNIVERSITY OF SAN DIEGO ? SCHOOL OF LAW,UNIVERSITY OF SAN DIEGO
2014.0,PMF,MIDDLEBURY COLLEGE ? MONTEREY INSTITUTE,MIDDLEBURY COLLEGE - MONTEREY INSTITUTE
2014.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2014.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2014.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2014.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2014.0,PMF,MASSACHUSETTS INST OF TECHNOLOGY,MASSACHUSETTS INST OF TECHNOLOGY
2014.0,PMF,HARVARD KENNEDY SCHOOL,HARVARD UNIVERSITY
2014.0,PMF,UNIVERSITY OF MICHIGAN LAW SCHOOL,UNIVERSITY OF MICHIGAN - ANN ARBOR
2014.0,PMF,EMORY UNIVERSITY,EMORY UNIVERSITY
2014.0,PMF STEM,EMORY UNIVERSITY,EMORY UNIVERSITY
2014.0,PMF,UNIVERSITY OF N C?CHAPEL HILL,UNIVERSITY OF NORTH CARLOLINA - CHAPEL HILL
2014.0,PMF STEM,UNIVERSITY OF LOUISVILLE,UNIVERSITY OF LOUISVILLE
2014.0,PMF,AMERICAN PUBLIC UNIVERSITY SYSTEM,AMERICAN PUBLIC UNIVERSITY SYSTEM
2014.0,PMF,HARVARD LAW SCHOOL,HARVARD UNIVERSITY
2014.0,PMF,UNIVERSITY OF SOUTHERN CALIFORNIA,UNIVERSITY OF SOUTHERN CALIFORNIA
2014.0,PMF,PENN STATE UNIVERSITY,PENN STATE UNIVERSITY
2014.0,PMF,LIBERTY UNIVERSITY,LIBERTY UNIVERSITY
2014.0,PMF,PRINCETON UNIVERSITY,PRINCETON UNIVERSITY
2014.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2014.0,PMF STEM,UNIV OF TEXAS SOUTHWESTERN MED CTR,UNIV OF TEXAS SOUTHWESTERN MED CTR
2014.0,PMF,VERONICA WAYNE STATE UNIVERSITY,WAYNE STATE UNIVERSITY
2014.0,PMF,"EVAN CATHOLIC UNIV AMERICA, LAW SCHOOL",CATHOLIC UNIVERSITY OF AMERICA
2014.0,PMF,"CATHOLIC UNIV AMERICA, LAW SCHOOL",CATHOLIC UNIVERSITY OF AMERICA
2014.0,PMF,ST MARY'S UNIV OF SAN ANTONIO,ST MARY'S UNIV OF SAN ANTONIO
2014.0,PMF,COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY
2014.0,PMF,PRINCETON UNIVERSITY,PRINCETON UNIVERSITY
2014.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2014.0,PMF,NORTHEASTERN UNIVERSITY,NORTHEASTERN UNIVERSITY
2014.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2014.0,PMF,NEW ENGLAND SCHOOL OF LAW,NEW ENGLAND SCHOOL OF LAW
2014.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2014.0,PMF,CORNELL UNIVERSITY,CORNELL UNIVERSITY
2014.0,PMF,UNIV OF ILLINOIS @ URBANA?CHAMPAIGN,UNIV OF ILLINOIS - URBANA - CHAMPAIGN
2014.0,PMF,UNIVERSITY OF COLORADO DENVER,UNIVERSITY OF COLORADO - DENVER
2014.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2014.0,PMF,UNIVERSITY OF CALIFORNIA?BERKELEY,UNIVERSITY OF CALIFORNIA - BERKELEY
2014.0,PMF STEM,TUSKEGEE UNIVERSITY,TUSKEGEE UNIVERSITY
2014.0,PMF,GEORGIA STATE UNIVERSITY,GEORGIA STATE UNIVERSITY
2014.0,PMF,PRINCETON UNIVERSITY,PRINCETON UNIVERSITY
2014.0,PMF,UNIVERSITY OF DENVER,UNIVERSITY OF DENVER
2014.0,PMF,INDIANA UNIVERSITY?BLOOMINGTON,INDIANA UNIVERSITY - BLOOMINGTON
2014.0,PMF STEM,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2014.0,PMF,UNIVERSITY OF VIRGINIA ? SFS,UNIVERSITY OF VIRGINIA 
2014.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2014.0,PMF STEM,UNIVERSITY OF PENNSYLVANIA,UNIVERSITY OF PENNSYLVANIA
2014.0,PMF,UNIVERSITY OF WISCONSIN?MILWAUKEE,UNIVERSITY OF WISCONSIN - MILWAUKEE
2014.0,PMF,UNIVERSITY OF WASHINGTON,UNIVERSITY OF WASHINGTON
2014.0,PMF,UNIVERSITY OF WISCONSIN?MADISON,UNIVERSITY OF WISCONSIN - MADISON
2014.0,PMF,GEORGE MASON UNIVERSITY,GEORGE MASON UNIVERSITY
2014.0,PMF,SOUTHWESTERN LAW SCHOOL,SOUTHWESTERN LAW SCHOOL
2014.0,PMF STEM,UNIVERSITY OF MICHIGAN ? ANN ARBOR,UNIVERSITY OF MICHIGAN - ANN ARBOR
2014.0,PMF,UNIVERSITY OF MICHIGAN ? ANN ARBOR,UNIVERSITY OF MICHIGAN - ANN ARBOR
2014.0,PMF,ARIZONA STATE UNIV (ALL CAMPUSES),ARIZONA STATE UNIV (ALL CAMPUSES)
2014.0,PMF,NORTHERN ILLINOIS UNIVERSITY,NORTHERN ILLINOIS UNIVERSITY
2014.0,PMF,COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY
2014.0,PMF,WEBSTER UNIVERSITY,WEBSTER UNIVERSITY
2014.0,PMF,JOHNS HOPKINS UNIV SCH ADV INTL STU,JOHNS HOPKINS UNIVERSITY
2014.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2014.0,PMF,WEBSTER UNIVERSITY,WEBSTER UNIVERSITY
2014.0,PMF,JAMES PEPPERDINE UNIVERSITY,PEPPERDINE UNIVERSITY
2014.0,PMF STEM,UNIVERSITY OF WYOMING,UNIVERSITY OF WYOMING
2014.0,PMF,UNIVERSITY OF PHOENIX,UNIVERSITY OF PHOENIX
2014.0,PMF,UNIVERSITY OF TEXAS?AUSTIN,UNIVERSITY OF TEXAS - AUSTIN
2014.0,PMF,JOHNS HOPKINS UNIV SCH ARTS/SCI/ENG,JOHNS HOPKINS UNIVERSITY
2014.0,PMF,UNIVERSITY OF MICHIGAN LAW SCHOOL,UNIVERSITY OF MICHIGAN - ANN ARBOR
2014.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2014.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2014.0,PMF,UNIVERSITY OF OXFORD,UNIVERSITY OF OXFORD
2014.0,PMF,UNIV OF CONNECTICUT SCH LAW,UNIV OF CONNECTICUT 
2014.0,PMF,UNIVERSITY OF MISSOURI?COLUMBIA,UNIVERSITY OF MISSOURI - COLUMBIA
2014.0,PMF,UNIVERSITY OF PENNSYLVANIA,UNIVERSITY OF PENNSYLVANIA
2015.0,PMF,"UNIVERSITY OF MARYLAND, BALTIMORE",UNIVERSITY OF MARYLAND - BALTIMORE
2015.0,PMF,MICHAEL GEORGETOWN UNIV LAW CENTER,GEORGETOWN UNIVERSITY
2015.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2015.0,PMF,STEPHANIE HARVARD KENNEDY SCHOOL,HARVARD UNIVERSITY
2015.0,PMF,HARVARD KENNEDY SCHOOL,HARVARD UNIVERSITY
2015.0,PMF,UNIV OF ILLINOIS @ URBANA-CHAMPAIGN,UNIV OF ILLINOIS - URBANA - CHAMPAIGN
2015.0,PMF,UNIVERSITY OF CALIFORNIA-SAN DIEGO,UNIVERSITY OF CALIFORNIA-SAN DIEGO
2015.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2015.0,PMF,JOHNS HOPKINS UNIV SCH ADV INTL STU,JOHNS HOPKINS UNIVERSITY
2015.0,PMF,YALE UNIVERSITY,YALE UNIVERSITY
2015.0,PMF,UNIVERSITY OF NORTH TEXAS,UNIVERSITY OF NORTH TEXAS
2015.0,PMF STEM,UNIV ARKANSAS FAYETTEVILLE,UNIV ARKANSAS FAYETTEVILLE
2015.0,PMF,SPALDING UNIVERSITY,SPALDING UNIVERSITY
2015.0,PMF,UNIVERSITY OF COLORADO-BOULDER,UNIVERSITY OF COLORADO - BOULDER
2015.0,PMF,GEORGETOWN UNIV LAW CENTER,GEORGETOWN UNIVERSITY
2015.0,PMF,A.T. STILL UNIV OF HEALTH SCIENCES,A.T. STILL UNIV OF HEALTH SCIENCES
2015.0,PMF STEM,JOHNS HOPKINS UNIVERSITY,JOHNS HOPKINS UNIVERSITY
2015.0,PMF,LONG ISLAND UNIVERSITY,LONG ISLAND UNIVERSITY
2015.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2015.0,PMF,LONG ISLAND UNIVERSITY,LONG ISLAND UNIVERSITY
2015.0,PMF,UNIVERSITY OF FLORIDA,UNIVERSITY OF FLORIDA
2015.0,PMF,WILMINGTON UNIVERSITY,WILMINGTON UNIVERSITY
2015.0,PMF,TEXAS A&M UNIVERSITY - HEALTH SCIENCE CE,TEXAS A&M UNIVERSITY
2015.0,PMF,COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY
2015.0,PMF,LOYOLA UNIVERSITY CHICAGO,UNIVERSITY OF CHICAGO
2015.0,PMF,UNIVERSITY OF MICHIGAN - ANN ARBOR,UNIVERSITY OF MICHIGAN - ANN ARBOR
2015.0,PMF STEM,UNIV OF MARYLAND UNIVERSITY COLLEGE,UNIV OF MARYLAND UNIVERSITY COLLEGE
2015.0,PMF,GEORGE WASHINGTON UNIV LAW SCHL,GEORGE WASHINGTON UNIVERSITY
2015.0,PMF,MASSACHUSETTS MARITIME ACADEMY,MASSACHUSETTS MARITIME ACADEMY
2015.0,PMF STEM,ARIZONA STATE UNIV (ALL CAMPUSES),ARIZONA STATE UNIV (ALL CAMPUSES)
2015.0,PMF,UNIV OF LONDON-LONDON SCHOOL ECON,UNIV OF LONDON - LONDON SCHOOL ECON
2015.0,PMF,GRANTHAM UNIVERSITY,GRANTHAM UNIVERSITY
2015.0,PMF,UNIVERSITY OF TEXAS-AUSTIN,UNIVERSITY OF TEXAS - AUSTIN
2015.0,PMF,COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY
2015.0,PMF,UNIVERSITY OF VIRGINIA - SFS,UNIVERSITY OF VIRGINIA 
2015.0,PMF STEM,OHIO STATE UNIVERSITY-ALL CAMPUSES,OHIO STATE UNIVERSITY (ALL CAMPUSES)
2015.0,PMF,COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY
2015.0,PMF,JOHNS HOPKINS UNIV SCH ADV INTL STU,JOHNS HOPKINS UNIVERSITY
2015.0,PMF,PRINCETON UNIVERSITY,PRINCETON UNIVERSITY
2015.0,PMF,COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY
2015.0,PMF,UNIVERSITY OF TEXAS-EL PASO,UNIVERSITY OF TEXAS - EL PASO
2015.0,PMF,VIRGINIA COMMONWEALTH UNIVERSITY,VIRGINIA COMMONWEALTH UNIVERSITY
2015.0,PMF,UNIVERSITY OF VIRGINIA - SFS,UNIVERSITY OF VIRGINIA 
2015.0,PMF,SOUTH UNIVERSITY,SOUTH UNIVERSITY
2015.0,PMF,BENTLEY UNIVERSITY,BENTLEY UNIVERSITY
2015.0,PMF,AMERICAN PUBLIC UNIVERSITY SYSTEM,AMERICAN PUBLIC UNIVERSITY SYSTEM
2015.0,PMF STEM,CAL POLY STATE UNIVERSITY,CALIFORNIA POLY STATE UNIVERSITY
2015.0,PMF STEM,JOHNS HOPKINS BLOOMBERG SCH OF PH,JOHNS HOPKINS UNIVERSITY
2015.0,PMF STEM,UNIVERSITY OF TEXAS-EL PASO,UNIVERSITY OF TEXAS - EL PASO
2015.0,PMF,SETON HALL UNIVERSITY,SETON HALL UNIVERSITY
2015.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2015.0,PMF,TUFTS UNIVERSITY,TUFTS UNIVERSITY
2015.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2015.0,PMF,TROY UNIVERSITY,TROY UNIVERSITY
2015.0,PMF,UNIVERSITY OF TEXAS-AUSTIN,UNIVERSITY OF TEXAS - AUSTIN
2015.0,PMF,AMERICAN PUBLIC UNIVERSITY SYSTEM,AMERICAN PUBLIC UNIVERSITY SYSTEM
2015.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2015.0,PMF,ROOSEVELT UNIVERSITY,ROOSEVELT UNIVERSITY
2015.0,PMF STEM,MCGILL UNIVERSITY,MCGILL UNIVERSITY
2015.0,PMF STEM,SYRACUSE UNIVERSITY,SYRACUSE UNIVERSITY
2015.0,PMF,UNIVERSITY OF SAN DIEGO - SCHOOL OF LAW,UNIVERSITY OF SAN DIEGO
2015.0,PMF,LOUISIANA STATE UNIV & A&M COLG,LOUISIANA STATE UNIVERSITY
2015.0,PMF,UNIVERSITY OF TEXAS-AUSTIN (School of Law),UNIVERSITY OF TEXAS - AUSTIN
2015.0,PMF,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY
2015.0,PMF,AMERICAN PUBLIC UNIVERSITY SYSTEM,AMERICAN PUBLIC UNIVERSITY SYSTEM
2015.0,PMF,UNIVERSITY OF TENNESSEE-KNOXVILLE,UNIVERSITY OF TENNESSEE - KNOXVILLE
2015.0,PMF,GEORGIA STATE UNIVERSITY,GEORGIA STATE UNIVERSITY
2015.0,PMF STEM,YESHIVA UNIVERSITY,YESHIVA UNIVERSITY
2015.0,PMF,SUNY AT ALBANY,SUNY AT ALBANY
2015.0,PMF STEM,MONTANA STATE UNIVERSITY - BOZEMAN,MONTANA STATE UNIVERSITY - BOZEMAN
2015.0,PMF,CHAPMAN UNIVERSITY DALE E. FOWLER SCHOOL OF LAW,CHAPMAN UNIVERSITY
2015.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2015.0,PMF,JOHNS HOPKINS UNIV SCH ADV INTL STU,JOHNS HOPKINS UNIVERSITY
2015.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2015.0,PMF,TROY UNIVERSITY,TROY UNIVERSITY
2015.0,PMF,LONG ISLAND UNIVERSITY,LONG ISLAND UNIVERSITY
2015.0,PMF,GEORGE WASHINGTON UNIV LAW SCHL,GEORGE WASHINGTON UNIVERSITY
2015.0,PMF STEM,JOHNS HOPKINS UNIV SCH OF MEDICINE,JOHNS HOPKINS UNIVERSITY
2015.0,PMF,SYRACUSE UNIVERSITY,SYRACUSE UNIVERSITY
2015.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2015.0,PMF,JOHNS HOPKINS UNIV SCH ADV INTL STU,JOHNS HOPKINS UNIVERSITY
2015.0,PMF,UNIVERSITY OF MICHIGAN LAW SCHOOL,UNIVERSITY OF MICHIGAN - ANN ARBOR
2015.0,PMF,UNIVERSITY OF CAMBRIDGE,UNIVERSITY OF CAMBRIDGE
2015.0,PMF,SYRACUSE UNIVERSITY,SYRACUSE UNIVERSITY
2015.0,PMF,"UNIVERSITY OF MARYLAND, COLLEGE PARK",UNIVERSITY OF MARYLAND - COLLEGE PARK
2015.0,PMF,CAPELLA UNIVERSITY,CAPELLA UNIVERSITY
2015.0,PMF,KELLER GRADUATE SCHOOL OF MGMT.,KELLER GRADUATE SCHOOL OF MGMT.
2015.0,PMF,UNIVERSITY OF CONNECTICUT-STORRS,UNIV OF CONNECTICUT 
2015.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2015.0,PMF,SUNY AT ALBANY,SUNY AT ALBANY
2015.0,PMF STEM,LATONIA NORTH CAROLINA STATE UNIV-RALEIGH,NORTH CAROLINA STATE UNIV - RALEIGH
2015.0,PMF STEM,MACQUARIE UNIVERSITY,MACQUARIE UNIVERSITY
2015.0,PMF,UNIV OF LONDON-LONDON SCHOOL ECON,UNIV OF LONDON - LONDON SCHOOL ECON
2015.0,PMF,SUNY AT ALBANY,SUNY AT ALBANY
2015.0,PMF,YALE UNIVERSITY,YALE UNIVERSITY
2015.0,PMF,EMORY UNIVERSITY,EMORY UNIVERSITY
2015.0,PMF,UNIVERSITY OF WASHINGTON,UNIVERSITY OF WASHINGTON
2015.0,PMF,UNIV OF MARYLAND UNIVERSITY COLLEGE,UNIV OF MARYLAND UNIVERSITY COLLEGE
2015.0,PMF,CUNY-JOHN JAY CLG CRIMINAL JUSTICE,CUNY - JOHN JAY COLLEGE
2015.0,PMF,SAVANNAH COLLEGE OF ART & DESIGN,SAVANNAH COLLEGE OF ART & DESIGN
2015.0,PMF,JOHNS HOPKINS UNIV SCH ADV INTL STU,JOHNS HOPKINS UNIVERSITY
2015.0,PMF,UNIVERSITY OF HOUSTON,UNIVERSITY OF HOUSTON
2015.0,PMF STEM,ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE,ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE
2015.0,PMF,TEMPLE UNIVERSITY,TEMPLE UNIVERSITY
2015.0,PMF,EMORY UNIVERSITY,EMORY UNIVERSITY
2015.0,PMF,SYRACUSE UNIVERSITY,SYRACUSE UNIVERSITY
2015.0,PMF STEM,UNIVERSITY OF MISSOURI-COLUMBIA,UNIVERSITY OF MISSOURI - COLUMBIA
2015.0,PMF,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY
2015.0,PMF,UNIVERSITY OF PHOENIX,UNIVERSITY OF PHOENIX
2015.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2015.0,PMF,COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY
2015.0,PMF,CALIFORNIA INTERCONTINENTAL UNIVERSITY,CALIFORNIA INTERCONTINENTAL UNIVERSITY
2015.0,PMF,UNIV OF CENTRAL FLORIDA,UNIV OF CENTRAL FLORIDA
2015.0,PMF STEM,WASHINGTON UNIVERSITY,WASHINGTON UNIVERSITY
2015.0,PMF,SUFFOLK UNIVERSITY,SUFFOLK UNIVERSITY
2015.0,PMF,TEXAS A&M UNIVERSITY,TEXAS A&M UNIVERSITY
2015.0,PMF,UNIVERSITY OF CINCINNATI,UNIVERSITY OF CINCINNATI
2015.0,PMF,UNIVERSITY OF SOUTHERN CALIFORNIA,UNIVERSITY OF SOUTHERN CALIFORNIA
2015.0,PMF,BOSTON UNIVERSITY,BOSTON UNIVERSITY
2015.0,PMF,GEORGIA STATE UNIVERSITY,GEORGIA STATE UNIVERSITY
2015.0,PMF,COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY
2015.0,PMF STEM,TEXAS A&M UNIVERSITY,TEXAS A&M UNIVERSITY
2015.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2015.0,PMF,FLORIDA INTERNATIONAL UNIVERSITY,FLORIDA INTERNATIONAL UNIVERSITY
2015.0,PMF STEM,SARAH COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY
2015.0,PMF,JOHNS HOPKINS BLOOMBERG SCH OF PH,JOHNS HOPKINS UNIVERSITY
2015.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2015.0,PMF,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY
2015.0,PMF,NORTHERN ILLINOIS UNIVERSITY,NORTHERN ILLINOIS UNIVERSITY
2015.0,PMF,US NAVAL WAR COLLEGE,NAVAL WAR COLLEGE
2015.0,PMF,UNIVERSITY OF N C-CHAPEL HILL,UNIVERSITY OF NORTH CARLOLINA - CHAPEL HILL
2015.0,PMF,HARVARD KENNEDY SCHOOL,HARVARD UNIVERSITY
2015.0,PMF,COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY
2015.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2015.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2015.0,PMF,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY
2015.0,PMF,FORDHAM UNIVERSITY,FORDHAM UNIVERSITY
2015.0,PMF,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY
2015.0,PMF,UNIVERSITY OF MICHIGAN - ANN ARBOR,UNIVERSITY OF MICHIGAN - ANN ARBOR
2015.0,PMF,NANYANG TECHNOLOGICAL UNIVERSITY,NANYANG TECHNOLOGICAL UNIVERSITY
2015.0,PMF,UNIV OF LONDON-LONDON SCHOOL ECON,UNIV OF LONDON - LONDON SCHOOL ECON
2015.0,PMF,JOHNS HOPKINS UNIV SCH ADV INTL STU,JOHNS HOPKINS UNIVERSITY
2015.0,PMF,TEXAS A&M UNIVERSITY,TEXAS A&M UNIVERSITY
2015.0,PMF,PATRICK UNIVERSITY OF OXFORD,UNIVERSITY OF OXFORD
2015.0,PMF,GEORGE MASON UNIVERSITY,GEORGE MASON UNIVERSITY
2015.0,PMF,MIDDLEBURY COLLEGE - MONTEREY INSTITUTE,MIDDLEBURY COLLEGE - MONTEREY INSTITUTE
